hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_aap_covered_p0,d_aap_covered_p1,d_aap_covered_only_p1,d_aap_covered_only_p0,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
470321,487228082.0,1018466518.0,106527883.0,128290023.0,1188760914470.0,2078907340881.0,0.0004098621312909,0.0004899047196439,0.2186406878739801,0.1259639082214777,8.004258835301762e-05,-0.0926767796525024,35509294.333333336,42763341.0,162409360.66666666,339488839.3333333,109.03280324470296,20.42858581917,0,0,0,0,1,0,2,oportunidad_perdida,1,1,1,1,0,0,0,1,0,5.0,95.0,1,0,47,4703,"Wood pulp: chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of coniferous wood"
270750,377914646.0,1014237388.0,0.0,0.0,1188760914470.0,2078907340881.0,0.000317906352236,0.0004878704154126,0.0,0.0,0.0001699640631765,0.0,0.0,0.0,125971548.66666669,338079129.3333333,168.37737005831733,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,27,2707,"Aromatic hydrocarbon mixtures: n.e.c. in heading no. 2707, of which 65% or more by volume (including losses) distils at 250 degrees Celsius by the ASTM D 86 method"
841459,364759359.0,1012520556.9999996,0.0,19514.0,1188760914470.0,2078907340881.0,0.0003068399663549,0.0004870445820692,0.0,1.927269512217914e-05,0.0001802046157143,1.927269512217914e-05,0.0,6504.666666666667,121586453.0,337506852.3333332,177.58590205220747,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,84,8414,Fans: n.e.c. in item no. 8414.51
850110,613830818.0000001,1006409761.9999996,106.0,7229.0,1188760914470.0,2078907340881.0,0.0005163618777571,0.0004841051557273,1.7268601851137425e-07,7.182958942721387e-06,-3.225672202973514e-05,7.0102729242100126e-06,35.333333333333336,2409.6666666666665,204610272.66666672,335469920.66666657,63.955561123358166,6719.811320754717,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,0,0,0,0,,,0,0,85,8501,Electric motors: of an output not exceeding 37.5W
841330,512347481.9999999,995189891.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0004309928731366,0.0004787081518401,0.0,0.0,4.771527870344963e-05,0.0,0.0,0.0,170782493.99999997,331729963.6666667,94.24119878859877,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,84,8413,"Pumps: fuel, lubricating or cooling medium pumps for internal combustion piston engines"
540331,134098455.0,994193832.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0001128052355757,0.0004782290256277,0.0,0.0,0.000365423790052,0.0,0.0,0.0,44699485.0,331397944.0,641.390966808678,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,54,5403,"Yarn, artificial: filament, monofilament (less than 67 decitex), of viscose rayon (not high tenacity), single, untwisted or twisted 120 turns per metre or less, not for retail sale, not sewing thread"
902290,656616377.9999999,987524734.0,14090.0,6610.0,1188760914470.0,2078907340881.0,0.0005523536061856,0.0004750210433051,2.1458496120546057e-05,6.6935032333073685e-06,-7.733256288046641e-05,-1.4764992887238687e-05,4696.666666666667,2203.333333333333,218872126.0,329174911.3333334,50.39599484373512,-53.087295954577705,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,90,9022,"Apparatus based on use of x-rays and similar: parts and accessories (x-ray generators, tubes, high tension generators, control panels and desks, screens, examination or treatment tables, chairs and like"
271129,651238.0,984696493.0,0.0,0.0,1188760914470.0,2078907340881.0,5.478292498288855e-07,0.0004736605973899,0.0,0.0,0.00047311276814,0.0,0.0,0.0,217079.3333333333,328232164.3333333,151103.78310233736,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,27,2711,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas"
392010,272541949.0,975261519.0,42731.0,204229.0,1188760914470.0,2078907340881.0,0.0002292655702946,0.000469122168084,0.0001567868732016,0.0002094094722504,0.0002398565977893,5.262259904881511e-05,14243.666666666666,68076.33333333333,90847316.33333331,325087173.0,257.83904920999885,377.9410732255271,0,0,0,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,39,3920,"Plastics: plates, sheets, film, foil and strip (not self-adhesive), of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials"
848310,586439946.0,969385333.0,476.0,15899.0,1188760914470.0,2078907340881.0,0.0004933203463048,0.0004662955938138,8.116773136733084e-07,1.6401114663862983e-05,-2.702475249102853e-05,1.5589437350189676e-05,158.66666666666666,5299.666666666667,195479982.0,323128444.3333333,65.30001743776165,3240.126050420168,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,0,0,0,0,,,0,0,84,8483,Transmission shafts (including cam shafts and crank shafts) and cranks
440320,273532973.0,969354418.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0002300992316204,0.0004662807230211,0.0,0.0,0.0002361814914006,0.0,0.0,0.0,91177657.66666669,323118139.3333333,254.38302277363837,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,44,4403,"Wood: coniferous, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated"
292910,788077710.0,967577731.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0006629404621293,0.0004654260976297,0.0,0.0,-0.0001975143644995,0.0,0.0,0.0,262692570.0,322525910.3333334,22.776944293983405,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,29,2929,"Nitrogen-function compounds: n.e.c. in chapter 29, isocyanates"
