hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
711319,1362990776.0,4495086807.999999,0.0,16082.999999999998,1188760914470.0,2078907340881.0,0.00114656425813569,0.0021622352856260877,0.0,3.5779064313901012e-06,0.0010156710274903977,3.5779064313901012e-06,0.0,5360.999999999999,454330258.6666667,1498362269.333333,229.7958348032136,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,71,7113,"Jewellery: of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof"
710692,689882334.0000001,4443079161.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0005803373290646748,0.0021372184674267928,0.0,0.0,0.001556881138362118,0.0,0.0,0.0,229960778.00000003,1481026387.0,544.0343435435758,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,71,7106,"Metals: silver, semi-manufactured"
291736,1157446473.0,4335304485.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0009736579146497584,0.0020853764858816573,0.0,0.0,0.0011117185712318988,0.0,0.0,0.0,385815491.0,1445101495.0,274.55766518198203,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,29,2917,Acids: aromatic polycarboxylic acids: terephthalic acid and its salts
870840,2348561337.9999995,4180085761.0000005,633.0,414265.0,1188760914470.0,2078907340881.0,0.001975638086189171,0.0020107128772889715,2.6952670545920405e-07,9.910442600605772e-05,3.507479109980064e-05,9.883489930059852e-05,211.0,138088.33333333334,782853779.3333331,1393361920.3333335,77.98495161125749,65344.707740916274,0,0,0,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,87,8708,Vehicle parts: gear boxes and parts thereof
284390,356324565.0,4125500402.0000005,0.0,0.0,1188760914470.0,2078907340881.0,0.0002997445160441405,0.001984456123114989,0.0,0.0,0.0016847116070708486,0.0,0.0,0.0,118774855.0,1375166800.6666667,1057.7928684203966,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,28,2843,"Inorganic or organic compounds of precious metals, n.e.c.: amalgams"
390210,1911228384.0000002,3969031237.9999995,0.0,0.0,1188760914470.0,2078907340881.0,0.0016077483375638295,0.0019091910254730267,0.0,0.0,0.0003014426879091971,0.0,0.0,0.0,637076128.0000001,1323010412.6666665,107.6691237544952,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,39,3902,"Propylene, other olefin polymers: polypropylene in primary forms"
310420,3662598612.0,3902521567.0,856376.0,0.0,1188760914470.0,2078907340881.0,0.00308102206879248,0.0018771984158496397,0.00023381650317733479,0.0,-0.0012038236529428403,-0.00023381650317733479,285458.6666666667,0.0,1220866204.0,1300840522.3333333,6.55062103212527,-100.0,0,0,0,0,0,0,4,retirada,0,1,1,0,0,80.0,80.0,0,0,31,3104,"Fertilizers, mineral or chemical: potassic, potassium chloride"
853400,1276791473.0,3831256108.0,32528.0,91171.0,1188760914470.0,2078907340881.0,0.0010740523661725938,0.001842918167952781,2.5476360617893946e-05,2.379663416643615e-05,0.0007688658017801873,-1.6797264514577947e-06,10842.666666666666,30390.333333333332,425597157.6666667,1277085369.3333333,200.06905505077728,180.2846778160354,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,85,8534,Circuits: printed
382490,1566924695.0,3824184498.000001,52056.0,1652.0,1188760914470.0,2078907340881.0,0.0013181159272035803,0.0018395165685351743,3.322176245361938e-05,4.31987525932385e-07,0.0005214006413315939,-3.2789774927686995e-05,17352.0,550.6666666666666,522308231.6666667,1274728166.0000002,144.056686974354,-96.82649454433687,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,38,3824,"Chemical products, preparations and residual products of the chemical or allied industries, n.e.c. or included in heading no. 3824"
710691,8479899407.0,3700177436.0000005,2755986.0,177723.0,1188760914470.0,2078907340881.0,0.007133393522431463,0.001779866453514921,0.00032500220435692723,4.8030939887067615e-05,-0.005353527068916541,-0.00027697126446985963,918662.0,59241.0,2826633135.6666665,1233392478.6666667,-56.36531451133049,-93.55138233648502,0,0,0,0,0,0,4,retirada,0,1,1,0,0,5.0,95.0,1,0,71,7106,"Metals: silver, unwrought, (but not powder)"
848180,3151854982.9999995,3676441628.0,32236.0,226562.0,1188760914470.0,2078907340881.0,0.002651378376117985,0.0017684490095850045,1.0227627912410208e-05,6.162534943421655e-05,-0.0008829293665329806,5.139772152180635e-05,10745.333333333334,75520.66666666667,1050618327.6666665,1225480542.6666667,16.643743060180014,602.8229308847251,0,0,0,0,0,1,3,estrella_menguante,0,1,1,0,0,5.0,95.0,1,0,84,8481,"Taps, cocks, valves and similar appliances: for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves"
