year,direction,hs6,trade_value_usd,quantity_tons
2013,IND_CHL,761699,146817.0,6.596
2013,IND_CHL,820340,3184.0,0.475
2013,IND_CHL,820412,65579.0,15.932
2013,IND_CHL,820551,37857.0,3.839
2013,IND_CHL,820559,80402.0,23.332
2013,IND_CHL,820713,413108.0,9.462
2013,IND_CHL,820719,1456355.0,21.371
2013,IND_CHL,820740,319864.0,17.285
2013,IND_CHL,820830,123.0,0.001
2013,IND_CHL,821000,3318.0,0.358
2013,IND_CHL,821490,8997.0,0.157
2013,IND_CHL,821510,31278.0,2.272
2013,IND_CHL,830590,19.0,0.004
2013,IND_CHL,830610,42449.0,3.09
2013,IND_CHL,830629,100194.0,7.898
2013,IND_CHL,840510,10158463.0,728.054
2013,IND_CHL,840732,1089.0,0.053
2013,IND_CHL,840999,664906.0,51.692
2013,IND_CHL,841221,24262.0,1.151
2013,IND_CHL,841229,812.0,0.028
2013,IND_CHL,841370,407779.0,22.524
2013,IND_CHL,841391,338092.0,16.597
2013,IND_CHL,841420,12.0,0.001
2013,IND_CHL,841950,30202.0,1.756
2013,IND_CHL,841990,64798.0,4.715
2013,IND_CHL,842119,404293.0,8.255
2013,IND_CHL,842131,144161.0,8.771
2013,IND_CHL,842139,305339.0,10.473
2013,IND_CHL,842290,6850.0,0.036
2013,IND_CHL,842330,14498.0,0.209
2013,IND_CHL,842630,589.0,0.064
2013,IND_CHL,842833,4838153.0,275.181
2013,IND_CHL,842860,11713.0,0.785
2013,IND_CHL,842952,65900.0,15.788
2013,IND_CHL,843139,805722.0,248.272
2013,IND_CHL,843280,19987.0,19.0
2013,IND_CHL,844399,11920.0,0.103
2013,IND_CHL,844849,7729.0,0.152
2013,IND_CHL,844851,27909.0,0.047
2013,IND_CHL,845230,4729.0,0.021
2013,IND_CHL,845290,142.0,0.001
2013,IND_CHL,846310,8531.0,0.507
2013,IND_CHL,846390,37008.0,1.26
2013,IND_CHL,846593,1039.0,0.072
2013,IND_CHL,846620,47219.0,1.5
2013,IND_CHL,846694,12766.0,0.904
2013,IND_CHL,846722,183.0,0.013
2013,IND_CHL,847290,42357.0,576.303
2013,IND_CHL,847410,11260.0,1.033
2013,IND_CHL,847490,471567.0,121.933
2013,IND_CHL,847710,138575.0,13.314
2013,IND_CHL,847730,148464.0,6.588
2013,IND_CHL,847990,40701.0,1.183
2013,IND_CHL,848079,170859.0,2.279
2013,IND_CHL,848180,1935467.0,95.881
2013,IND_CHL,848190,210474.0,4.943
2013,IND_CHL,848210,145745.0,6.596
2013,IND_CHL,848220,282520.0,16.823
2013,IND_CHL,848250,11658.0,0.406
2013,IND_CHL,848320,2847.0,0.175
2013,IND_CHL,848340,666043.0,30.105
2013,IND_CHL,848410,50893.0,2.872
2013,IND_CHL,850131,940.0,0.041
2013,IND_CHL,850433,79.0,0.005
2013,IND_CHL,850440,990398.0,18.454
2013,IND_CHL,850519,2258.0,0.138
2013,IND_CHL,850590,24223.0,1.55
2013,IND_CHL,850710,7488.0,2.357
2013,IND_CHL,850760,816.0,0.009
2013,IND_CHL,850790,819.0,0.065
2013,IND_CHL,850980,1996.0,0.128
2013,IND_CHL,851010,7.0,
2013,IND_CHL,851110,12981.0,0.36
2013,IND_CHL,851130,2039.0000000000002,0.061
2013,IND_CHL,851190,1364.0,0.083
2013,IND_CHL,851420,191370.0,6.188
2013,IND_CHL,851590,108950.0,13.009
2013,IND_CHL,851829,2635.0,0.187
2013,IND_CHL,852721,45037.0,0.858
2013,IND_CHL,852851,4760.0,0.121
2013,IND_CHL,852859,1424.0,0.021
2013,IND_CHL,853110,10413.0,0.124
2013,IND_CHL,853120,83.0,0.001
2013,IND_CHL,853190,261.0,0.04
2013,IND_CHL,853210,76260.0,7.5
2013,IND_CHL,853222,17100.0,0.141
2013,IND_CHL,853230,17767.0,1.114
2013,IND_CHL,853321,3715.0,0.006
2013,IND_CHL,853329,273.0,0.004
2013,IND_CHL,853331,139.0,0.001
2013,IND_CHL,853510,185148.0,8.13
2013,IND_CHL,853530,11982.0,0.745
2013,IND_CHL,853620,15974.0,0.338
2013,IND_CHL,853641,11236.0,0.216
2013,IND_CHL,853649,284774.0,2.098
2013,IND_CHL,853710,727882.0,4.183
2013,IND_CHL,853720,17020.0,0.95
2013,IND_CHL,853931,3059.0,0.154
2013,IND_CHL,854232,99.0,
2013,IND_CHL,854370,5259.0,0.024
2013,IND_CHL,854442,20885.0,0.73
2013,IND_CHL,854449,11072.0,0.498
2013,IND_CHL,870290,1369763.0,
2013,IND_CHL,870321,71446360.0,6767.257
2013,IND_CHL,870790,16937.0,1.635
2013,IND_CHL,870810,784385.0,66.463
2013,IND_CHL,870821,3676.0,0.19
2013,IND_CHL,870830,215734.0,13.573
2013,IND_CHL,870840,114515.0,7.313
2013,IND_CHL,870870,180840.0,22.524
2013,IND_CHL,871130,559684.0,19.341
2013,IND_CHL,871410,33909.0,1.992
2013,IND_CHL,871420,512.0,0.013
2013,IND_CHL,871499,14456.0,2.053
2013,IND_CHL,871639,3508.0,0.935
2013,IND_CHL,900150,60350.0,0.339
2013,IND_CHL,900659,319.0,0.016
